"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","Info"
"15309","1214.537724831","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=540074 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466849 [TCP segment of a reassembled PDU]"
"15310","1214.537765042","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=541522 Win=242304 Len=0 TSval=146466874 TSecr=3143614881"
"15311","1214.538349196","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=541522 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466849 [TCP segment of a reassembled PDU]"
"15312","1214.538381761","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=542970 Ack=1133 Win=64384 Len=1448 TSval=3143614891 TSecr=146466855 [TCP segment of a reassembled PDU]"
"15313","1214.538393816","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=544418 Ack=1133 Win=64384 Len=1448 TSval=3143614891 TSecr=146466855 [TCP segment of a reassembled PDU]"
"15314","1214.538402356","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=545866 Ack=1133 Win=64384 Len=1448 TSval=3143614891 TSecr=146466856 [TCP segment of a reassembled PDU]"
"15315","1214.538410203","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=547314 Ack=1133 Win=64384 Len=1448 TSval=3143614891 TSecr=146466856 [TCP segment of a reassembled PDU]"
"15316","1214.538417183","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=548762 Ack=1133 Win=64384 Len=1448 TSval=3143614891 TSecr=146466857 [TCP segment of a reassembled PDU]"
"15317","1214.538424444","103.123.234.254","10.42.0.56","HTTP","1514","80","47864","HTTP/1.1 200 OK  [TCP segment of a reassembled PDU]"
"15318","1214.538431877","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=551658 Ack=1133 Win=64384 Len=1448 TSval=3143614891 TSecr=146466857 [TCP segment of a reassembled PDU]"
"15319","1214.538448264","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=548762 Win=241152 Len=0 TSval=146466875 TSecr=3143614881"
"15320","1214.538505509","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=553106 Win=242688 Len=0 TSval=146466875 TSecr=3143614891"
"15321","1214.540080875","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=553106 Ack=1133 Win=64384 Len=1448 TSval=3143614901 TSecr=146466863 [TCP segment of a reassembled PDU]"
"15322","1214.540720444","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=554554 Ack=1133 Win=64384 Len=1448 TSval=3143614901 TSecr=146466863 [TCP segment of a reassembled PDU]"
"15323","1214.540812480","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=556002 Win=242688 Len=0 TSval=146466877 TSecr=3143614901"
"15324","1214.541864452","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=556002 Ack=1133 Win=64384 Len=1448 TSval=3143614911 TSecr=146466873 [TCP segment of a reassembled PDU]"
"15325","1214.542506642","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=557450 Ack=1133 Win=64384 Len=1448 TSval=3143614911 TSecr=146466873 [TCP segment of a reassembled PDU]"
"15326","1214.542592329","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=558898 Win=242688 Len=0 TSval=146466879 TSecr=3143614911"
"15327","1214.543143289","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=558898 Ack=1133 Win=64384 Len=1448 TSval=3143614911 TSecr=146466874 [TCP segment of a reassembled PDU]"
"15328","1214.543800889","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=560346 Ack=1133 Win=64384 Len=1448 TSval=3143614911 TSecr=146466874 [TCP segment of a reassembled PDU]"
"15329","1214.543859156","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=561794 Win=242688 Len=0 TSval=146466880 TSecr=3143614911"
"15330","1214.544429155","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=561794 Ack=1133 Win=64384 Len=1448 TSval=3143614911 TSecr=146466875 [TCP segment of a reassembled PDU]"
"15331","1214.545043364","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=563242 Ack=1133 Win=64384 Len=1448 TSval=3143614911 TSecr=146466875 [TCP segment of a reassembled PDU]"
"15332","1214.545114897","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=564690 Win=242688 Len=0 TSval=146466881 TSecr=3143614911"
"15333","1214.546801755","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=564690 Ack=1133 Win=64384 Len=1448 TSval=3143614911 TSecr=146466875 [TCP segment of a reassembled PDU]"
"15334","1214.547443731","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=566138 Ack=1133 Win=64384 Len=1448 TSval=3143614911 TSecr=146466875 [TCP segment of a reassembled PDU]"
"15335","1214.547514953","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=567586 Win=242688 Len=0 TSval=146466884 TSecr=3143614911"
"15336","1214.548080729","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=567586 Ack=1133 Win=64384 Len=1448 TSval=3143614911 TSecr=146466875 [TCP segment of a reassembled PDU]"
